cik,ticker,name,is_known_case,logical_input,tag_used,taxonomy,unit,fiscal_year,period_start,period_end,value,filed,accn,form
885590,BHC,Bausch Health (fka Valeant),True,net_income,NetIncomeLoss,us-gaap,USD,2021,2021-01-01,2021-12-31,-948000000.0,2022-02-23,0000885590-22-000010,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,NetIncomeLoss,us-gaap,USD,2022,2022-01-01,2022-12-31,-225000000.0,2023-02-23,0000885590-23-000009,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,NetIncomeLoss,us-gaap,USD,2023,2023-01-01,2023-12-31,-592000000.0,2024-02-22,0000885590-24-000011,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,NetIncomeLoss,us-gaap,USD,2024,2024-01-01,2024-12-31,-46000000.0,2025-02-20,0000885590-25-000007,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,NetIncomeLoss,us-gaap,USD,2025,2025-01-01,2025-12-31,157000000.0,2026-02-19,0000885590-26-000023,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2010,2010-01-01,2010-12-31,-208193000.0,2011-02-28,0001047469-11-001555,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2011,2011-01-01,2011-12-31,720652000.0,2012-02-29,0001047469-12-001906,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2012,2012-01-01,2012-12-31,882291000.0,2013-02-28,0000885590-13-000014,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2013,2013-01-01,2013-12-31,-863669000.0,2014-02-28,0000885590-14-000025,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2014,2014-01-01,2014-12-31,912200000.0,2015-02-25,0000885590-15-000015,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2015,2015-01-01,2015-12-31,-287800000.0,2016-04-29,0000885590-16-000101,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2016,2016-01-01,2016-12-31,-2408000000.0,2017-03-01,0000885590-17-000015,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2017,2017-01-01,2017-12-31,2404000000.0,2018-02-28,0000885590-18-000017,10-K
885590,BHC,Bausch Health (fka Valeant),True,net_income,ProfitLoss,us-gaap,USD,2018,2018-01-01,2018-12-31,-4144000000.0,2019-02-20,0000885590-19-000006,10-K
