cik,ticker,name,fiscal_year,logical_input,originally_reported,latest_reported,original_filed,latest_filed,n_versions,rel_change,change_type,restated
885590,BHC,Bausch Health (fka Valeant),2021,net_income,-948000000,-948000000,2022-02-23,2024-02-22,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2022,net_income,-225000000,-225000000,2023-02-23,2025-02-20,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2023,net_income,-592000000,-592000000,2024-02-22,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2024,net_income,-46000000,-46000000,2025-02-20,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2025,net_income,157000000,157000000,2026-02-19,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2010,net_income,-208193000,366666000,2011-02-28,2013-02-28,2,2.7611831329583607,restated,True
885590,BHC,Bausch Health (fka Valeant),2011,net_income,720652000,159559000,2012-02-29,2014-02-28,2,0.7785907761305041,restated,True
885590,BHC,Bausch Health (fka Valeant),2012,net_income,882291000,-116000000,2013-02-28,2015-02-25,3,1.1314758962745852,restated,True
885590,BHC,Bausch Health (fka Valeant),2013,net_income,-863669000,-863600000,2014-02-28,2016-04-29,2,7.989171777613878e-05,none,False
885590,BHC,Bausch Health (fka Valeant),2014,net_income,912200000,880000000,2015-02-25,2017-03-01,3,0.03529927647445735,restated,True
885590,BHC,Bausch Health (fka Valeant),2015,net_income,-287800000,-288000000,2016-04-29,2018-02-28,2,0.0006949270326615705,none,False
885590,BHC,Bausch Health (fka Valeant),2016,net_income,-2408000000,-2408000000,2017-03-01,2019-02-20,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2017,net_income,2404000000,2404000000,2018-02-28,2020-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2018,net_income,-4144000000,-4144000000,2019-02-20,2021-02-24,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2019,net_income,-1783000000,-1783000000,2020-02-19,2022-02-23,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2020,net_income,-559000000,-559000000,2021-02-24,2023-02-23,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2021,income_continuing,-948000000,-948000000,2022-02-23,2024-02-22,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2022,income_continuing,-225000000,-225000000,2023-02-23,2025-02-20,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2023,income_continuing,-592000000,-592000000,2024-02-22,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2024,income_continuing,-46000000,-46000000,2025-02-20,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2025,income_continuing,157000000,157000000,2026-02-19,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2010,income_continuing,-208193000,366666000,2011-02-28,2013-02-28,2,2.7611831329583607,restated,True
885590,BHC,Bausch Health (fka Valeant),2011,income_continuing,720652000,159559000,2012-02-29,2014-02-28,2,0.7785907761305041,restated,True
885590,BHC,Bausch Health (fka Valeant),2012,income_continuing,882291000,-116000000,2013-02-28,2015-02-25,3,1.1314758962745852,restated,True
