cik,ticker,name,is_known_case,fiscal_year,fscore,mscore,mscore_flag,accruals,asset_growth,hedging,d_hedging,fls_freq,d_fls_freq,flag_fscore_weak,flag_mscore_manip,flag_accruals,flag_asset_growth,flag_hedging_rise,flag_fls_drop,flag_late_filing,red_flags,screen_flagged,screen_status,fiscal_period_end,combined_available_as_of,reasons
885590,BHC,Bausch Health (fka Valeant),True,2015,4.0,-2.4743563585415966,False,-0.0508164078056551,0.8580237544112624,0.032417950435365,0.0021071301502516,0.0122739450770261,-0.0012105139087182,False,False,False,True,False,False,True,2,True,flagged,2015-12-31,2016-04-29,asset growth +86% YoY (> 30%); 10-K filed 120d after period-end (> 90); NT 10-K late-notice filed
354950,HD,Home Depot,False,2018,7.0,-2.772293973786131,False,-0.0435652114628548,-0.0118125266680141,0.0318593314763231,0.0234386406359725,0.0112291086350974,-0.0052685713786505,False,False,False,False,True,True,False,2,True,flagged,2019-02-03,2019-03-28,hedging +0.0234 YoY (+278%) (rise); fwd-looking -0.0053 YoY (-32%) (drop)
1364479,HTZ,Hertz Global Holdings (pre-2016-split entity),True,2012,,,,-0.1062827433331509,0.3175659844240485,0.0158873201829044,0.0022435986073243,0.0172557658289109,0.0004516341708518,False,False,False,True,False,False,True,2,True,flagged,2012-12-31,2013-03-04,asset growth +32% YoY (> 30%); NT 10-K late-notice filed
1364479,HTZ,Hertz Global Holdings (pre-2016-split entity),True,2015,,,,-0.1309615549276479,-0.0261413383364602,0.0315059073576295,0.0270766956518557,0.007938988560355,-0.0151561867626082,False,False,False,False,True,True,False,2,True,flagged,2015-12-31,2016-02-29,hedging +0.0271 YoY (+611%) (rise); fwd-looking -0.0152 YoY (-66%) (drop)
50863,INTC,Intel,False,2016,5.0,-2.835897969952408,False,-0.1014056667872616,0.0995682336389657,0.0734566293305548,0.0608285616631733,0.0078145350351654,-0.0076727177644533,False,False,False,False,True,True,False,2,True,flagged,2016-12-31,2017-02-17,hedging +0.0608 YoY (+482%) (rise); fwd-looking -0.0077 YoY (-50%) (drop)
1637459,KHC,Kraft Heinz,True,2018,4.0,-2.8184249050408425,False,-0.1233894897594262,-0.1394886552664848,0.0505670198921732,0.0378386581072077,0.0109685815207287,-0.0055034160833443,False,False,False,False,True,True,True,3,True,flagged,2018-12-29,2019-06-07,hedging +0.0378 YoY (+297%) (rise); fwd-looking -0.0055 YoY (-33%) (drop); 10-K filed 160d after period-end (> 90); NT 10-K late-notice filed
1637459,KHC,Kraft Heinz,True,2024,6.0,-2.6762568685917527,False,-0.0163104420809405,-0.0227144422674592,0.0417633410672853,0.017300776204424,0.0120649651972157,-0.0109150199769873,False,False,False,False,True,True,False,2,True,flagged,2024-12-28,2025-02-13,hedging +0.0173 YoY (+71%) (rise); fwd-looking -0.0109 YoY (-47%) (drop)
63276,MAT,Mattel,True,2017,1.0,,,-0.1644981175772457,-0.0393130733743632,0.0074074074074074,-0.0046254093656099,0.0022222222222222,-0.0059819710321077,True,False,False,False,False,True,False,2,True,flagged,2017-12-31,2018-02-27,F-Score=1 (weak <= 2); fwd-looking -0.0060 YoY (-73%) (drop)
1376339,MDXG,MiMedx Group,True,2013,6.0,-1.608728702671005,True,-0.0451788891083327,1.4072659138856336,0.0324822555205047,-0.0027267982361755,0.017202287066246,0.0019330545697265,False,True,False,True,False,False,False,2,True,flagged,2013-12-31,2014-03-04,"M-Score=-1.61 (> -1.78, manipulation-like); asset growth +141% YoY (> 30%)"
1376339,MDXG,MiMedx Group,True,2019,,,,0.0827440986803536,0.3607990622252613,0.0303542191844902,0.0012361037736265,0.0141895579406949,0.0006920981929508,False,False,False,True,False,False,True,2,True,flagged,2019-12-31,2020-07-06,asset growth +36% YoY (> 30%); 10-K filed 188d after period-end (> 90); NT 10-K late-notice filed
1376339,MDXG,MiMedx Group,True,2023,7.0,-1.0850321549397473,True,0.1315766355570243,0.3944292130898909,0.0396166134185303,0.0191230960617758,0.0133057695921819,-0.0062118659856795,False,True,True,True,True,True,False,5,True,flagged,2023-12-31,2024-02-28,"M-Score=-1.09 (> -1.78, manipulation-like); accruals=+0.13 (> 0.1); asset growth +39% YoY (> 30%); hedging +0.0191 YoY (+93%) (rise); fwd-looking -0.0062 YoY (-32%) (drop)"
789019,MSFT,Microsoft,False,2014,4.0,-2.533934642227809,False,-0.0589207815110451,0.2102983198882266,0.0322319523143719,0.0235551627265194,0.0111119287659136,-0.0049401319716135,False,False,False,False,True,True,False,2,True,flagged,2014-06-30,2014-07-31,hedging +0.0236 YoY (+271%) (rise); fwd-looking -0.0049 YoY (-31%) (drop)
945436,SUNE,SunEdison,True,2013,3.0,-3.8736043890924967,False,0.0179776962802185,0.4208992683341841,0.0329114709349215,-0.0023537012903381,0.0228922389726409,0.000319404480725,False,False,False,True,False,False,True,2,True,flagged,2013-12-31,2014-03-06,asset growth +42% YoY (> 30%); NT 10-K late-notice filed
1336917,UAA,Under Armour,True,2011,,-1.657550343638104,True,0.0888817571610404,0.3610304155598791,0.0284461976769669,0.0022205307699733,0.016787201402586,-0.0006965765354096,False,True,False,True,False,False,False,2,True,flagged,2011-12-31,2012-02-27,"M-Score=-1.66 (> -1.78, manipulation-like); asset growth +36% YoY (> 30%)"
1336917,UAA,Under Armour,True,2013,4.0,-1.680703674434179,True,0.0267851313998939,0.3635504108175472,0.0295470322804581,0.0010266925397339,0.0163137799375216,0.0004890146268377,False,True,False,True,False,False,False,2,True,flagged,2013-12-31,2014-02-21,"M-Score=-1.68 (> -1.78, manipulation-like); asset growth +36% YoY (> 30%)"
1336917,UAA,Under Armour,True,2015,1.0,-0.8963552718652698,True,0.0964400989926452,0.3693490902269743,0.0308791474933397,0.0006748241294073,0.0164688786631145,-7.15841314198988e-05,True,True,False,True,False,False,False,3,True,flagged,2015-12-31,2016-02-22,"F-Score=1 (weak <= 2); M-Score=-0.90 (> -1.78, manipulation-like); asset growth +37% YoY (> 30%)"
